,aro,auto_i,auto_me,auto_mine,auto_my,auto_mys,dom,val,pos,neg
2857,4.33,1,0,0,0,0,5.385,6.665,0,0
6844,4.71,1,0,0,0,0,6.5,7.95,0,0
1449,4.255,0,0,0,0,0,5.27,6.15,0,0
907,4.34,0,0,0,0,0,4.943333333333334,5.460000000000001,0,1
439,3.6966666666666668,1,0,0,0,0,5.916666666666667,5.796666666666667,0,0
2959,3.9600000000000004,0,0,0,0,0,5.57,6.02,0,0
3138,4.286666666666666,0,0,0,0,0,5.260000000000001,6.073333333333333,0,0
226,3.43,1,0,0,0,0,5.5,6.18,0,0
5669,4.553333333333334,0,0,0,0,0,4.913333333333333,4.696666666666666,1,0
2809,3.2649999999999997,0,0,0,0,0,4.390000000000001,5.555,0,0
3320,4.2275,0,0,0,0,0,5.925000000000001,6.3774999999999995,0,1
6569,5.36,1,0,0,0,0,5.92,8.0,1,0
4703,3.455,0,0,0,0,0,5.779999999999999,6.09,0,0
1842,4.01,0,0,0,0,0,4.986666666666667,5.989999999999999,0,0
2652,4.276666666666666,0,0,0,0,0,5.16,6.276666666666666,1,0
4512,3.83,0,0,0,0,0,4.52,5.19,0,0
3898,3.9050000000000002,0,0,0,0,0,5.6,6.16,0,0
1306,3.145,0,0,0,0,0,5.195,6.119999999999999,0,0
6490,4.265,0,0,0,0,0,5.733333333333333,6.305,1,0
4092,,0,0,0,0,0,,,0,0
4959,4.16,2,0,0,0,0,5.2749999999999995,6.571666666666666,1,0
6162,3.875,0,0,0,0,0,5.59,6.324999999999999,0,0
6801,4.203333333333333,0,0,0,0,0,5.68,6.316666666666666,0,0
3858,3.085,0,0,0,0,0,5.555,6.75,0,0
1754,3.844,1,0,0,1,0,5.436,6.191999999999999,0,0
1366,4.196666666666666,0,0,0,1,0,6.03,7.07,1,0
2244,3.6275000000000004,3,0,0,1,0,5.07,5.484999999999999,0,0
4373,4.235,0,0,0,0,0,5.595000000000001,6.505,0,0
5110,4.234999999999999,1,0,0,0,0,6.01,5.765000000000001,1,0
1673,4.0075,0,0,0,1,0,6.135,6.665,1,0
4163,4.043636363636363,0,0,0,0,0,6.0672727272727265,6.554545454545454,2,0
5865,4.1000000000000005,1,0,0,0,0,5.7700000000000005,6.446666666666666,0,0
3764,3.62,0,0,0,0,0,5.470000000000001,5.725,0,0
3956,4.0,1,0,0,0,0,5.59,6.02,0,0
6417,4.545,0,0,0,0,0,5.205,5.53,0,1
335,3.715,1,0,0,0,0,5.695,6.3100000000000005,0,0
1474,3.7649999999999997,0,0,0,0,0,5.63,5.975,0,0
4890,3.43,1,0,0,0,0,5.5,6.18,0,0
3473,3.43,0,0,0,0,0,5.5,6.18,0,0
2414,4.014,0,0,0,0,0,5.636,6.324,0,0
1654,4.1433333333333335,0,0,0,0,0,5.646666666666666,5.989999999999999,1,0
1983,3.83,0,0,0,0,0,5.1825,5.715,0,0
214,3.785,0,0,0,1,0,5.25,6.455,0,0
4255,4.095,0,0,0,0,0,5.405,5.41875,0,1
1408,3.72,1,0,0,0,0,5.485,5.925,0,0
5357,4.926666666666667,1,0,0,0,0,6.273333333333333,7.006666666666668,2,0
5107,3.6575,0,0,0,1,0,5.68,6.0525,1,0
6694,5.36,1,0,0,0,0,5.92,8.0,1,0
5414,3.45,0,0,0,0,0,6.015,7.235,0,0
3310,3.3366666666666673,0,0,0,0,0,5.6000000000000005,5.88,0,0
4649,3.8149999999999995,0,0,0,0,0,5.9025,5.5425,0,1
3715,4.1450000000000005,2,0,0,0,0,5.415,6.25,0,0
4142,4.2,1,0,0,0,0,6.145,7.24,0,0
7028,3.8950000000000005,1,0,0,0,0,5.470000000000001,5.8,0,0
559,,1,0,0,0,0,,,0,0
4910,4.12,0,0,0,0,0,5.62,5.926666666666667,0,1
2644,4.51,0,0,0,0,0,5.54,4.949999999999999,0,1
4954,3.43,0,0,0,0,0,5.5,6.18,0,0
2947,3.8983333333333334,0,0,0,0,0,6.133333333333333,6.38,1,0
7152,3.7699999999999996,0,1,0,1,0,5.12,5.984999999999999,0,0
42,3.81,0,0,0,0,0,5.176666666666667,5.713333333333334,0,0
5027,3.38,1,0,0,0,0,5.45,5.43,0,0
4082,3.81,0,0,0,0,0,5.28,6.45,0,0
5773,3.43,0,0,0,0,0,5.5,6.18,0,0
2948,3.263333333333333,0,0,0,0,0,5.463333333333334,5.833333333333333,0,0
6965,3.55,0,0,0,0,0,5.575,6.135,0,0
1679,4.1925,0,0,0,0,0,5.585,6.145,1,0
1663,3.8,0,0,0,0,0,5.18,4.826,0,0
1285,4.975,0,0,0,0,0,3.905,3.73,0,1
4381,4.628333333333333,0,0,0,0,0,5.844999999999999,6.306666666666666,0,1
4715,4.67,0,0,0,0,0,6.51,6.904999999999999,1,0
5503,3.9675000000000002,2,0,0,0,0,5.219999999999999,4.95,0,0
6942,3.33,1,0,0,0,0,6.39,5.14,0,0
1817,3.6,0,0,0,0,0,5.45,5.9399999999999995,0,0
4665,3.7599999999999993,0,0,0,0,0,4.6979999999999995,5.3020000000000005,0,0
251,3.095,2,0,0,0,0,5.305,5.970000000000001,0,0
2532,5.36,0,0,0,0,0,5.92,8.0,1,0
1712,4.083333333333333,0,0,0,0,0,5.625,6.114999999999999,1,0
5095,3.8433333333333337,0,0,0,0,0,5.803333333333334,5.9366666666666665,0,0
3671,3.9859999999999998,1,0,0,1,0,5.5920000000000005,6.392,0,0
4181,3.43,1,0,0,0,0,5.5,6.18,0,0
99,3.8683333333333336,0,0,0,0,0,5.706666666666667,6.099999999999999,0,0
114,3.6900000000000004,0,0,0,0,0,5.955,6.6850000000000005,0,0
129,3.55,0,0,0,0,0,5.859999999999999,6.135,0,0
1770,3.99,0,0,0,0,0,5.175,4.59,0,0
4330,4.113333333333333,1,0,0,0,0,5.518888888888889,5.817777777777778,0,0
3986,3.825,1,0,0,0,0,6.395,6.715,1,0
4848,3.43,0,0,0,0,0,5.5,6.18,0,0
5655,5.0,1,0,0,0,0,7.28,7.67,1,0
3437,3.6366666666666667,0,0,0,0,0,4.95,5.096666666666667,0,0
1011,4.006666666666667,0,0,0,0,0,5.830000000000001,6.073333333333333,0,0
1932,4.57,0,0,0,0,0,5.62,6.78,0,0
4290,5.71,1,0,0,0,0,5.0,5.725,1,1
4139,3.43,0,0,0,0,0,5.5,6.18,0,0
3980,3.816,2,0,0,1,0,6.032,6.536,0,0
1179,5.36,1,0,0,0,0,5.92,8.0,1,0
4747,4.4,1,0,0,0,0,6.28,7.44,1,0
6784,3.9933333333333336,0,0,0,0,0,5.923333333333333,6.303333333333334,2,0
770,3.97,0,0,0,0,0,6.246,5.776,0,0
3883,3.52,1,0,0,0,0,5.72,5.86,0,0
413,3.6,1,0,0,0,0,5.3,7.22,0,0
121,4.12,0,0,0,0,0,5.109999999999999,4.285,0,2
3273,4.205,0,0,0,0,0,6.325,6.39,0,0
881,3.5566666666666666,0,0,0,0,0,5.830000000000001,6.163333333333333,0,0
5799,4.23,1,0,0,0,0,5.545,6.3925,1,0
1054,6.16,0,0,0,0,0,6.9,6.64,0,0
110,3.8850000000000002,1,0,0,0,0,6.415,6.445,1,0
3315,3.3333333333333335,0,0,0,0,0,5.359999999999999,5.633333333333333,0,0
2842,3.996666666666666,1,0,0,0,0,5.53,6.16,0,0
1398,4.09,1,0,0,0,0,6.555,7.025,0,0
3595,3.34,0,0,0,0,0,5.7,5.855,0,0
5840,3.063333333333333,0,0,0,0,0,5.543333333333333,5.256666666666667,1,0
1773,3.9266666666666663,0,0,0,0,0,5.473333333333334,6.07,0,0
2989,3.642857142857143,1,0,0,0,0,5.872857142857143,6.264285714285714,1,0
444,3.9499999999999997,0,0,0,0,0,5.906666666666666,5.836666666666666,0,0
5527,3.8733333333333335,1,0,0,0,0,6.28,6.5566666666666675,1,0
813,4.714545454545455,0,0,0,0,0,4.774545454545454,4.536363636363636,0,4
5402,3.85,0,0,0,0,0,6.32,6.669999999999999,1,0
4758,3.145,0,0,0,0,0,5.625,5.9425,0,0
1183,4.035,0,0,0,0,0,5.24,6.55,0,0
4216,3.723333333333334,0,0,0,0,0,6.1066666666666665,6.103333333333333,0,0
2497,3.896666666666667,0,0,0,0,0,5.656666666666666,6.260000000000001,0,0
3730,3.585,0,0,0,0,0,5.26,6.949999999999999,0,0
6619,3.43,1,0,0,0,0,5.5,6.18,0,0
4363,3.9210000000000007,0,0,0,0,0,5.467999999999999,6.0,0,0
344,4.543333333333333,1,0,0,0,0,6.303333333333334,6.596666666666667,1,0
1392,4.38,1,0,0,0,0,7.006666666666667,6.783333333333334,1,0
2084,3.782,0,0,0,0,0,6.0200000000000005,6.69,0,0
4629,4.22,1,0,0,1,0,5.533333333333332,6.266666666666667,0,0
4872,3.665,0,0,0,0,0,4.64,6.755,0,0
1040,4.4,1,0,0,0,0,6.28,7.44,1,0
5526,4.215,1,0,0,0,0,5.59,5.5,0,0
4631,3.925,1,0,0,0,0,6.470000000000001,7.18,0,0
4243,4.242500000000001,0,0,0,0,0,5.96,6.765,0,0
4963,4.508,0,0,0,0,0,5.154000000000001,6.34,0,0
5447,3.446666666666667,0,0,0,0,0,5.649166666666666,5.7799999999999985,0,0
1784,3.5066666666666664,0,0,0,1,0,5.836666666666667,5.953333333333333,0,0
244,4.71,1,0,0,0,0,6.5,7.95,0,0
5463,4.695,0,1,0,0,0,5.145,4.970000000000001,1,0
5175,4.08,1,0,0,0,0,5.805,6.855,0,0
4185,3.14,1,0,0,0,0,5.36,6.02,0,0
6698,4.193333333333333,1,0,0,0,0,5.666666666666667,5.18,0,0
6331,3.483333333333333,1,0,0,0,0,5.8500000000000005,6.476666666666667,1,0
1955,4.085,0,0,0,0,0,5.345000000000001,5.945,1,0
1708,4.1525,1,0,0,3,0,5.8575,6.3075,1,0
5127,3.795,1,0,0,0,0,5.825,6.47,0,0
1823,3.8549999999999995,0,0,0,0,0,4.995,5.25,0,0
4094,3.43,0,0,0,0,0,5.5,6.18,0,0
490,4.128333333333333,0,0,0,0,0,5.56,5.980833333333333,2,0
4660,3.74125,0,0,0,1,0,5.13,5.647500000000001,0,1
3036,3.24,0,0,0,0,0,5.83,6.77,0,0
6396,3.8100000000000005,0,0,0,0,0,5.25,5.68,0,0
3021,3.755,0,0,0,0,0,5.705,5.85,0,1
6624,3.425,1,0,0,0,0,5.385,6.08,0,0
5083,4.523333333333333,0,0,0,0,0,5.433333333333334,6.8566666666666665,0,0
3224,4.1075,2,0,0,1,0,5.904999999999999,5.99,0,0
1256,4.726666666666667,1,0,0,0,0,6.3999999999999995,7.079999999999999,2,0
4799,4.311428571428571,0,0,0,0,0,5.704285714285715,6.004285714285714,0,0
1873,4.050000000000001,1,0,0,0,0,5.765000000000001,7.66,1,0
1629,4.355,2,0,0,0,0,5.9725,6.045,1,0
1977,3.9466666666666668,0,0,0,1,0,4.8500000000000005,5.423333333333333,0,1
3451,3.5,0,0,0,0,0,5.585,6.445,0,0
3580,3.9233333333333333,0,0,0,0,0,5.523333333333333,6.046666666666667,0,0
6308,4.093333333333334,0,0,0,0,0,5.096666666666667,5.580000000000001,0,0
6091,4.53,1,0,0,1,0,5.68,5.3566666666666665,1,1
4338,3.8099999999999996,1,0,0,0,0,5.04,5.36,0,0
5940,4.845,0,0,0,1,0,5.92,5.8100000000000005,0,0
5839,3.43,0,0,0,0,0,5.5,6.18,0,0
247,2.98,0,0,0,0,0,6.056666666666666,6.936666666666667,0,0
1618,3.4866666666666664,1,0,0,0,0,5.603333333333333,5.88,0,0
2781,3.473333333333333,0,0,0,0,0,5.856666666666666,5.942222222222223,0,0
931,4.07,0,0,0,0,0,4.9399999999999995,5.705,0,0
6022,4.87,0,0,0,0,0,6.59,7.55,1,0
1328,4.1466666666666665,1,0,0,1,0,5.580000000000001,5.283333333333334,1,1
6458,3.52,0,0,0,0,0,5.72,5.86,0,0
3584,3.9,1,0,0,0,0,5.06,6.56,0,0
6229,6.26,1,0,0,0,0,4.47,1.96,0,1
3847,3.235,0,0,0,0,0,5.535,5.79,0,0
1510,3.4050000000000002,0,0,0,0,0,5.875,5.615,0,0
1795,3.4933333333333336,0,0,0,0,0,6.23,5.653333333333333,0,0
5885,3.5175,0,0,0,0,0,5.285,5.535,0,0
3562,4.279999999999999,1,0,0,0,0,5.8725000000000005,6.8325000000000005,0,0
5619,3.688333333333333,0,0,0,0,0,6.046666666666667,6.245,0,0
5770,5.2,0,0,0,0,0,4.415,5.08,0,0
3613,3.19,0,0,0,0,0,6.195,5.62,0,0
796,3.9675000000000002,0,0,0,0,0,5.1075,5.922499999999999,0,0
5334,3.29,0,0,0,0,0,4.25,6.58,0,0
6275,3.475,1,0,0,0,0,5.609999999999999,6.02,0,0
3227,4.221666666666667,0,0,0,0,0,5.746666666666667,5.486666666666667,2,1
4588,3.8549999999999995,1,0,0,0,0,5.665,3.8550000000000004,0,1
6670,3.7649999999999997,0,0,0,0,0,5.279999999999999,5.8149999999999995,1,0
2686,4.14,0,0,0,0,0,5.316666666666667,5.666666666666667,0,0
6834,4.1466666666666665,1,0,0,0,0,6.296666666666667,6.84,1,0
6663,4.0285714285714285,0,0,0,0,0,4.914285714285714,5.094285714285713,0,1
2206,3.53,0,0,0,0,0,5.507142857142857,5.42,0,1
2257,3.9299999999999997,0,0,0,0,0,5.623333333333334,6.353333333333333,1,0
4405,3.575,0,0,0,0,0,5.895,5.88,0,0
348,3.84,1,0,0,0,0,5.73,6.845,0,0
3789,3.5566666666666666,1,0,0,0,0,5.579999999999999,6.043333333333333,0,0
4362,4.5,0,0,0,0,0,6.0,6.925,0,0
3993,4.359999999999999,0,0,0,0,0,5.07,5.9375,2,0
5062,4.5275,0,0,0,0,0,5.35,5.1875,0,0
4069,3.81,0,0,0,0,0,5.28,6.45,0,0
5343,3.835,1,0,0,0,0,5.390000000000001,5.85,0,0
2859,3.65,0,0,0,0,0,6.656666666666666,6.993333333333332,1,0
5413,3.033333333333333,0,0,0,0,0,5.593333333333334,6.25,0,0
3909,3.335,0,0,0,0,0,5.665,6.475,0,0
6058,3.655,0,0,0,0,0,6.164999999999999,6.513333333333333,1,0
4052,3.24,0,0,0,0,0,5.720000000000001,6.395,0,0
4688,6.096666666666667,1,0,0,0,0,5.053333333333333,4.37,1,1
2845,3.2350000000000003,0,0,0,1,0,5.32,5.9,1,0
5044,3.563333333333333,0,0,0,0,0,5.851666666666667,6.524999999999999,0,0
4957,3.9175000000000004,1,0,0,0,0,5.404999999999999,6.095,0,0
2285,3.24,1,0,0,0,0,5.78,6.82,0,0
5257,3.783333333333333,1,0,0,0,0,5.34,6.046666666666667,0,0
6405,4.215,0,0,0,1,0,5.16,4.875,0,1
1988,3.356666666666667,0,0,0,0,0,5.716666666666666,6.39,0,0
1655,3.6,0,0,0,1,0,5.22,5.919999999999999,0,0
1098,3.8950000000000005,0,0,0,0,0,5.904999999999999,6.42,1,0
2260,4.44,1,0,0,1,0,5.8025,5.455,0,1
1724,3.6666666666666665,0,0,0,0,0,5.555,5.971666666666667,0,0
3222,4.792,1,0,0,1,0,5.87,7.175999999999999,2,0
7053,3.9433333333333334,0,0,0,0,0,5.476666666666667,4.659999999999999,0,0
2825,4.07,0,0,0,0,0,4.9399999999999995,5.705,0,0
1413,3.936666666666667,0,0,0,0,0,5.193333333333333,5.496666666666667,0,0
1136,4.052222222222222,0,0,0,0,0,6.069999999999999,5.84,1,0
5010,4.33,1,0,0,0,0,6.12,5.05,1,0
715,3.8814285714285717,1,1,0,1,0,5.888571428571429,5.911428571428571,1,0
837,3.43,0,0,0,0,0,5.5,6.18,0,0
2235,3.8825000000000003,0,0,0,0,0,5.885000000000001,5.835000000000001,0,0
1824,3.306,0,0,0,0,0,6.186,5.6579999999999995,0,0
2099,3.62,1,0,0,0,0,5.609999999999999,5.6850000000000005,0,0
6,4.013333333333333,0,0,0,0,0,4.056666666666667,4.803333333333334,0,0
1818,3.74,0,0,0,0,0,5.585,6.029999999999999,0,0
6026,3.3400000000000003,0,0,0,0,0,5.6499999999999995,6.010000000000001,1,0
5193,3.9924999999999997,0,0,0,0,0,6.085,6.0275,0,0
6695,3.6325000000000003,0,0,0,0,0,5.342499999999999,6.045,0,0
3007,4.24,0,0,0,1,0,5.25,6.869999999999999,0,0
3349,3.52,1,0,0,0,0,5.72,5.86,0,0
4178,3.6849999999999996,0,0,0,0,0,6.525,6.225,0,0
1652,3.223333333333334,0,0,0,0,0,5.176666666666667,5.8933333333333335,0,0
1527,4.536666666666666,1,0,0,0,0,6.47,7.286666666666666,1,0
1140,3.716666666666667,1,0,0,1,0,6.293333333333333,6.526666666666666,0,0
2386,3.6159999999999997,0,0,0,0,0,5.593999999999999,5.965999999999999,0,1
5930,3.34,0,0,0,0,0,5.195,6.005,0,0
1607,4.035,0,0,0,0,0,5.24,6.55,0,0
6877,6.35,1,0,0,0,0,7.32,6.5,0,0
4179,4.97,0,0,0,0,0,6.07,6.325,0,0
7003,4.76,0,0,0,0,0,5.96,6.67,0,0
94,3.43,1,0,0,0,0,5.5,6.18,0,0
6463,3.43,1,0,0,0,0,5.5,6.18,0,0
4664,4.656666666666666,0,0,0,0,0,5.973333333333334,6.4433333333333325,3,0
215,3.43,1,0,0,0,0,5.5,6.18,0,0
7080,3.568333333333333,1,0,0,1,0,5.573333333333333,6.251666666666666,0,1
6771,3.395,0,0,0,0,0,5.355,5.475,0,0
7086,3.8949999999999996,0,0,0,0,0,5.496666666666667,6.156666666666666,0,0
1991,3.3833333333333333,1,0,0,0,0,5.416666666666667,5.326666666666667,0,0
4816,3.9,0,0,0,0,0,6.165,6.03,0,0
2444,3.55,0,0,0,0,0,5.859999999999999,6.135,0,0
5579,3.7199999999999998,0,0,0,0,0,6.08,6.734999999999999,0,0
326,4.0975,0,0,0,0,0,6.095,6.215,0,0
2406,3.486666666666667,1,0,0,0,0,5.576666666666667,5.34,0,0
7151,4.1066666666666665,2,0,0,0,0,6.033333333333334,6.446666666666665,0,0
834,3.4333333333333336,0,0,0,0,0,5.8500000000000005,6.513333333333333,1,0
4566,3.67,0,0,0,1,0,6.1499999999999995,6.873333333333332,1,0
6534,3.6799999999999997,0,0,0,0,0,5.883333333333333,6.34,1,0
5390,4.195,0,0,0,0,0,5.9,6.21,0,0
1303,4.0575,0,0,0,0,0,5.8775,6.2425,0,0
1203,3.9255555555555555,0,0,0,0,0,5.57,5.762222222222222,1,0
1414,5.65,1,0,0,0,0,4.555,2.225,0,2
216,3.78,0,1,0,0,0,6.37,5.09,0,0
4658,4.215,0,0,0,0,0,6.33,6.75,1,0
4605,4.023333333333333,0,0,0,0,0,5.68,6.093333333333334,1,0
3522,3.9525,0,0,0,0,0,5.3975,4.327500000000001,0,1
6595,4.904999999999999,0,0,0,1,0,5.255000000000001,6.365,0,0
4431,3.776666666666667,0,0,0,1,0,5.863333333333333,5.935,0,1
6514,4.16,0,0,0,0,0,5.1160000000000005,4.662000000000001,0,1
468,4.33,1,0,0,0,0,6.12,5.05,1,0
6484,4.046000000000001,0,0,0,0,0,5.788000000000001,6.302,1,0
504,3.665,0,0,0,0,0,5.220000000000001,5.8100000000000005,0,0
5702,3.3579999999999997,0,0,0,0,0,5.568,5.994,0,0
5311,4.57,0,0,0,0,0,5.72,7.73,0,0
7004,4.52,1,0,0,2,0,5.083333333333333,5.066666666666666,0,1
1059,5.255,0,0,0,0,0,4.13,3.185,0,1
923,4.37,1,0,0,0,0,6.415,7.195,0,0
5819,3.26,0,0,0,0,0,6.015000000000001,5.654999999999999,0,0
1467,3.43,0,0,0,0,0,5.5,6.18,0,0
2830,3.43,1,0,0,0,0,5.5,6.18,0,0
5393,5.04,0,0,0,0,0,5.69,6.83,0,0
6314,4.87,1,0,0,1,0,5.82,7.705,1,0
1756,3.43,1,0,0,0,0,5.5,6.18,0,0
1839,3.9524999999999997,0,0,0,0,0,5.4,5.4975,1,1
2573,4.726666666666667,0,0,0,0,0,6.1433333333333335,6.7,1,0
4004,4.73,0,0,0,1,0,5.095000000000001,4.9174999999999995,0,1
573,3.43,0,0,0,0,0,5.5,6.18,0,0
2027,3.52,0,0,0,0,0,5.695,6.0649999999999995,0,1
